timestamp,mode,u_xy_px,v_xy_px,v_z_px,x_mm,y_mm,z_mm,center_x_mm,center_y_mm,center_z_mm,autd_target_x_mm,autd_target_y_mm,autd_target_z_mm
1775781650.4812,FIXED,332.73,231.23,321.51,277.191,216.831,399.172,278.625,218.113,400.000,278.625,218.113,400.000
1775781650.4858,FIXED,333.50,230.92,322.00,277.876,217.107,398.867,278.625,218.113,400.000,278.625,218.113,400.000
1775781650.4868,FIXED,333.50,230.92,321.61,277.876,217.107,399.111,278.625,218.113,400.000,278.625,218.113,400.000
1775781650.4882,FIXED,333.49,230.95,321.61,277.863,217.081,399.111,278.625,218.113,400.000,278.625,218.113,400.000
1775781650.4918,FIXED,333.62,230.74,320.94,277.986,217.250,399.527,278.625,218.113,400.000,278.625,218.113,400.000
1775781650.4935,FIXED,333.82,230.62,320.78,278.159,217.354,399.626,278.625,218.113,400.000,278.625,218.113,400.000
1775781650.5004,FIXED,333.68,230.35,320.76,278.033,217.569,399.634,278.625,218.113,400.000,278.625,218.113,400.000
1775781650.5074,FIXED,334.13,230.08,320.50,278.437,217.800,399.798,278.625,218.113,400.000,278.625,218.113,400.000
1775781650.5085,FIXED,333.88,230.31,320.50,278.208,217.603,399.798,278.625,218.113,400.000,278.625,218.113,400.000
1775781650.5153,FIXED,334.07,230.20,320.87,278.376,217.701,399.566,278.625,218.113,400.000,278.625,218.113,400.000
1775781650.5164,FIXED,334.07,230.20,321.00,278.376,217.701,399.487,278.625,218.113,400.000,278.625,218.113,400.000
1775781650.5241,FIXED,334.00,230.00,320.00,278.318,217.858,400.108,278.625,218.113,400.000,278.625,218.113,400.000
1775781650.5321,FIXED,334.07,229.78,319.50,278.379,218.039,400.418,278.625,218.113,400.000,278.625,218.113,400.000
1775781650.5338,FIXED,334.35,229.58,319.50,278.624,218.205,400.418,278.625,218.113,400.000,278.625,218.113,400.000
1775781650.5391,FIXED,333.89,229.56,319.50,278.221,218.206,400.418,278.625,218.113,400.000,278.625,218.113,400.000
1775781650.5406,FIXED,333.89,229.56,320.00,278.221,218.206,400.108,278.625,218.113,400.000,278.625,218.113,400.000
1775781650.5457,FIXED,334.35,229.28,319.68,278.625,218.445,400.305,278.625,218.113,400.000,278.625,218.113,400.000
1775781650.5530,FIXED,334.04,229.66,319.50,278.354,218.134,400.418,278.625,218.113,400.000,278.625,218.113,400.000
1775781650.5554,FIXED,334.04,229.66,319.52,278.354,218.134,400.403,278.625,218.113,400.000,278.625,218.113,400.000
1775781650.5599,FIXED,333.95,229.20,318.77,278.270,218.501,400.871,278.625,218.113,400.000,278.625,218.113,400.000
1775781650.5663,FIXED,334.50,229.00,318.10,278.760,218.676,401.287,278.625,218.113,400.000,278.625,218.113,400.000
1775781650.5680,FIXED,334.29,228.88,318.10,278.578,218.762,401.287,278.625,218.113,400.000,278.625,218.113,400.000
1775781650.5765,FIXED,333.70,228.95,318.43,278.053,218.689,401.081,278.625,218.113,400.000,278.625,218.113,400.000
1775781650.5783,FIXED,334.10,228.89,318.43,278.402,218.753,401.081,278.625,218.113,400.000,278.625,218.113,400.000
1775781650.5831,FIXED,333.86,228.89,318.22,278.189,218.746,401.210,278.625,218.113,400.000,278.625,218.113,400.000
1775781650.5849,FIXED,333.86,228.89,318.00,278.189,218.746,401.349,278.625,218.113,400.000,278.625,218.113,400.000
