timestamp,mode,u_xy_px,v_xy_px,v_z_px,x_mm,y_mm,z_mm,center_x_mm,center_y_mm,center_z_mm,autd_target_x_mm,autd_target_y_mm,autd_target_z_mm
1776935242.8022,FIXED,333.57,231.25,321.00,277.935,216.842,399.487,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.8042,FIXED,333.96,231.20,321.00,278.283,216.893,399.487,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.8080,FIXED,333.96,231.20,320.21,278.283,216.893,399.979,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.8147,FIXED,333.77,231.03,320.50,278.112,217.027,399.798,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.8225,FIXED,334.20,231.07,320.50,278.494,217.005,399.798,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.8253,FIXED,334.50,231.00,320.50,278.761,217.070,399.798,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.8310,FIXED,334.40,231.02,320.00,278.668,217.047,400.108,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.8321,FIXED,334.40,231.02,319.14,278.668,217.047,400.643,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.8383,FIXED,334.00,231.00,319.78,278.319,217.055,400.247,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.8449,FIXED,334.00,231.00,319.50,278.319,217.055,400.418,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.8526,FIXED,334.12,230.94,319.43,278.423,217.106,400.462,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.8556,FIXED,334.19,230.89,319.43,278.489,217.149,400.462,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.8600,FIXED,334.02,230.79,319.65,278.340,217.224,400.322,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.8619,FIXED,334.02,230.79,319.92,278.340,217.224,400.158,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.8664,FIXED,334.00,230.79,319.97,278.319,217.222,400.124,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.8743,FIXED,334.00,230.55,319.99,278.318,217.415,400.117,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.8802,FIXED,333.88,230.61,321.00,278.211,217.365,399.487,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.8824,FIXED,333.88,230.61,320.97,278.211,217.365,399.504,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.8904,FIXED,334.08,230.59,321.00,278.391,217.386,399.487,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.8925,FIXED,334.08,230.59,321.12,278.391,217.386,399.410,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.8980,FIXED,334.40,230.54,321.96,278.669,217.434,398.890,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.8990,FIXED,334.50,230.50,321.96,278.761,217.471,398.890,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.9075,FIXED,334.40,230.50,322.00,278.672,217.468,398.867,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.9093,FIXED,335.00,230.50,322.00,279.203,217.486,398.867,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.9132,FIXED,335.00,230.50,321.00,279.203,217.486,399.487,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.9141,FIXED,335.00,230.50,321.00,279.203,217.486,399.487,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.9210,FIXED,335.00,230.50,321.62,279.203,217.486,399.105,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.9230,FIXED,335.00,230.50,322.00,279.203,217.486,398.867,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.9291,FIXED,334.54,230.53,321.50,278.799,217.447,399.174,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.9368,FIXED,334.63,230.51,321.78,278.873,217.469,399.006,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.9378,FIXED,334.63,230.51,322.23,278.873,217.469,398.721,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.9427,FIXED,334.68,230.39,322.58,278.923,217.565,398.505,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.9436,FIXED,334.55,230.38,322.58,278.809,217.570,398.505,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.9495,FIXED,334.64,230.36,323.23,278.887,217.590,398.105,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.9569,FIXED,334.55,230.38,322.78,278.808,217.569,398.385,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.9579,FIXED,334.55,230.38,323.78,278.808,217.569,397.764,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.9628,FIXED,334.55,230.38,324.00,278.808,217.569,397.625,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.9637,FIXED,334.50,230.44,324.00,278.761,217.523,397.625,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.9699,FIXED,334.61,230.52,324.84,278.854,217.460,397.103,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.9773,FIXED,334.66,230.55,325.90,278.904,217.432,396.443,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.9792,FIXED,334.78,230.61,325.90,279.010,217.390,396.443,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.9835,FIXED,334.78,230.61,326.18,279.010,217.390,396.273,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.9844,FIXED,335.00,230.72,326.18,279.203,217.311,396.273,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.9911,FIXED,335.07,230.78,325.50,279.265,217.266,396.694,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.9930,FIXED,335.07,230.78,326.00,279.265,217.266,396.384,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.9974,FIXED,335.10,230.89,326.00,279.289,217.178,396.384,278.625,218.113,400.000,278.625,218.113,400.000
1776935242.9990,FIXED,335.10,230.89,326.00,279.289,217.178,396.384,278.625,218.113,400.000,278.625,218.113,400.000
1776935243.0037,FIXED,335.10,230.89,326.55,279.289,217.178,396.044,278.625,218.113,400.000,278.625,218.113,400.000
1776935243.0045,FIXED,335.24,230.91,326.55,279.412,217.163,396.044,278.625,218.113,400.000,278.625,218.113,400.000
1776935243.0097,FIXED,335.00,231.00,326.45,279.204,217.085,396.107,278.625,218.113,400.000,278.625,218.113,400.000
1776935243.0164,FIXED,334.69,231.06,326.52,278.928,217.023,396.062,278.625,218.113,400.000,278.625,218.113,400.000
