frame,cx,cy,radius,red_x,red_y,blue_x,blue_y
0,310,196,36,-1,-1,333,185
1,310,196,38,-1,-1,334,197
2,310,196,37,-1,-1,333,210
3,310,196,37,-1,-1,-1,-1
4,309,196,38,-1,-1,-1,-1
5,310,196,38,286,173,-1,-1
6,309,196,39,287,179,-1,-1
7,310,196,37,289,188,-1,-1
8,309,196,38,290,198,-1,-1
9,309,196,38,290,208,-1,-1
10,309,196,38,289,218,-1,-1
11,309,195,38,-1,-1,-1,-1
12,310,196,37,-1,-1,-1,-1
13,309,195,38,-1,-1,-1,-1
14,309,195,38,-1,-1,-1,-1
15,310,194,39,-1,-1,330,173
16,310,196,37,-1,-1,332,183
17,310,195,38,-1,-1,333,196
18,310,194,38,-1,-1,333,208
19,310,194,37,-1,-1,-1,-1
20,310,194,37,-1,-1,-1,-1
21,310,194,38,287,172,-1,-1
22,310,194,38,287,177,-1,-1
23,310,194,37,290,186,-1,-1
24,310,194,37,290,196,-1,-1
25,310,194,37,291,207,-1,-1
26,311,195,39,292,217,-1,-1
27,310,195,38,289,221,-1,-1
28,310,194,37,-1,-1,-1,-1
29,309,194,38,-1,-1,-1,-1
30,310,194,38,-1,-1,-1,-1
31,310,194,38,-1,-1,330,171
32,310,194,37,-1,-1,332,181
33,310,194,37,-1,-1,333,194
34,310,194,37,-1,-1,333,206
35,310,194,37,-1,-1,330,216
36,310,194,37,-1,-1,-1,-1
37,310,193,38,288,170,-1,-1
38,310,194,38,288,176,-1,-1
39,310,193,39,290,185,-1,-1
40,310,193,39,290,195,-1,-1
41,310,194,38,291,206,-1,-1
42,311,194,38,290,214,-1,-1
43,310,194,38,-1,-1,-1,-1
44,310,194,38,-1,-1,-1,-1
45,310,193,38,-1,-1,-1,-1
46,310,193,38,-1,-1,-1,-1
47,309,193,38,-1,-1,329,170
48,310,193,37,-1,-1,331,180
49,310,194,37,-1,-1,332,193
50,310,194,37,-1,-1,332,206
51,310,194,37,-1,-1,329,216
52,310,194,37,-1,-1,-1,-1
53,310,193,38,289,169,-1,-1
54,310,193,38,288,175,-1,-1
55,311,193,38,290,184,-1,-1
56,310,193,39,291,195,-1,-1
57,310,194,38,292,206,-1,-1
58,310,194,37,292,215,-1,-1
59,310,194,38,-1,-1,-1,-1
60,310,194,38,-1,-1,-1,-1
61,310,194,38,-1,-1,-1,-1
62,309,194,38,-1,-1,-1,-1
63,310,194,37,-1,-1,328,170
64,310,194,38,-1,-1,330,180
65,310,194,38,-1,-1,331,194
66,310,194,38,-1,-1,331,207
67,310,194,36,-1,-1,327,217
68,310,194,37,-1,-1,-1,-1
69,310,194,38,289,169,-1,-1
70,309,195,38,288,175,-1,-1
71,310,194,38,290,185,-1,-1
72,310,194,37,291,195,-1,-1
73,310,194,37,291,207,-1,-1
74,310,195,38,291,216,-1,-1
75,309,195,38,-1,-1,-1,-1
76,310,195,38,-1,-1,-1,-1
77,309,195,38,-1,-1,-1,-1
78,310,195,38,-1,-1,-1,-1
79,310,194,37,-1,-1,328,171
80,310,195,38,-1,-1,330,182
81,310,196,37,-1,-1,330,195
82,310,196,37,-1,-1,330,209
83,309,195,38,-1,-1,329,218
84,310,195,38,-1,-1,-1,-1
85,310,195,39,288,172,-1,-1
86,310,196,38,288,177,-1,-1
87,310,196,37,290,186,-1,-1
88,310,196,37,290,197,-1,-1
89,310,196,38,291,208,-1,-1
90,310,196,37,292,218,-1,-1
91,310,196,37,-1,-1,-1,-1
92,309,197,38,-1,-1,-1,-1
93,309,197,38,-1,-1,-1,-1
94,309,197,38,-1,-1,-1,-1
95,309,197,38,-1,-1,328,174
96,310,198,37,-1,-1,329,184
97,310,198,37,-1,-1,329,197
98,310,198,37,-1,-1,329,210
99,310,198,37,-1,-1,328,220
100,310,198,37,-1,-1,-1,-1
101,309,197,38,-1,-1,-1,-1
102,310,198,39,289,178,-1,-1
103,310,198,38,290,188,-1,-1
104,310,198,38,291,199,-1,-1
105,310,199,38,292,211,-1,-1
106,310,200,37,293,222,-1,-1
107,310,200,37,-1,-1,-1,-1
108,310,200,37,-1,-1,-1,-1
109,310,199,38,-1,-1,-1,-1
110,311,200,38,-1,-1,-1,-1
111,309,199,38,-1,-1,325,175
112,309,200,39,-1,-1,328,185
113,309,199,38,-1,-1,328,198
114,310,200,37,-1,-1,329,212
115,310,200,38,-1,-1,327,223
116,310,200,37,-1,-1,-1,-1
117,310,200,37,-1,-1,-1,-1
118,310,200,38,289,179,-1,-1
119,310,200,36,290,189,-1,-1
120,310,201,38,290,201,-1,-1
121,310,202,37,291,212,-1,-1
122,310,202,36,292,223,-1,-1
123,310,201,38,-1,-1,-1,-1
124,309,202,38,-1,-1,-1,-1
125,310,202,38,-1,-1,-1,-1
126,310,202,38,-1,-1,-1,-1
127,309,202,38,-1,-1,326,177
128,310,202,37,-1,-1,327,187
129,310,202,37,-1,-1,328,200
130,310,202,37,-1,-1,328,214
131,310,202,37,-1,-1,326,225
132,310,202,36,-1,-1,-1,-1
133,310,203,38,-1,-1,-1,-1
134,310,203,39,289,182,-1,-1
135,311,204,37,290,192,-1,-1
136,310,204,37,291,203,-1,-1
137,309,204,38,292,216,-1,-1
138,310,204,37,292,226,-1,-1
139,310,204,37,-1,-1,-1,-1
140,310,204,37,-1,-1,-1,-1
141,310,204,38,-1,-1,-1,-1
142,310,204,38,-1,-1,-1,-1
143,310,204,37,-1,-1,325,180
144,310,204,36,-1,-1,326,190
145,310,205,38,-1,-1,327,204
146,310,205,38,-1,-1,327,217
147,310,204,36,-1,-1,325,227
148,310,206,37,-1,-1,-1,-1
149,310,205,38,-1,-1,-1,-1
150,311,205,38,290,184,-1,-1
151,310,206,38,291,194,-1,-1
152,310,206,38,292,207,-1,-1
153,310,206,37,292,218,-1,-1
154,311,207,38,294,231,-1,-1
155,310,207,38,-1,-1,-1,-1
156,310,207,38,-1,-1,-1,-1
157,310,207,38,-1,-1,-1,-1
158,310,207,38,-1,-1,-1,-1
159,310,207,38,-1,-1,325,183
160,310,208,37,-1,-1,326,193
161,310,208,37,-1,-1,327,207
162,310,206,37,-1,-1,327,220
163,310,207,38,-1,-1,326,231
164,310,207,37,-1,-1,-1,-1
165,310,208,37,-1,-1,-1,-1
166,311,207,38,290,186,-1,-1
167,310,208,39,291,197,-1,-1
168,310,208,38,293,209,-1,-1
169,310,208,37,293,221,-1,-1
170,312,208,37,294,232,-1,-1
171,312,210,37,-1,-1,-1,-1
172,312,209,37,-1,-1,-1,-1
173,311,209,38,-1,-1,-1,-1
174,310,208,38,-1,-1,-1,-1
175,310,208,38,-1,-1,324,184
176,312,208,37,-1,-1,326,196
177,311,208,38,-1,-1,327,210
178,312,208,37,-1,-1,326,223
179,311,208,37,-1,-1,325,233
180,310,208,36,-1,-1,-1,-1
181,311,208,38,289,185,-1,-1
182,311,209,38,292,188,-1,-1
183,311,209,38,292,199,-1,-1
184,311,209,38,293,211,-1,-1
185,312,210,37,294,223,-1,-1
186,311,209,38,294,233,-1,-1
187,311,209,38,-1,-1,-1,-1
188,311,209,38,-1,-1,-1,-1
189,311,209,38,-1,-1,-1,-1
190,312,207,40,-1,-1,323,177
191,311,209,38,-1,-1,324,185
192,312,208,36,-1,-1,325,197
193,312,208,36,-1,-1,326,211
194,312,208,36,-1,-1,326,225
195,312,208,37,-1,-1,325,233
196,312,208,36,-1,-1,-1,-1
197,311,208,38,292,182,-1,-1
198,311,209,38,291,188,-1,-1
199,311,209,38,292,200,-1,-1
200,311,209,38,293,212,-1,-1
201,312,208,37,294,224,-1,-1
202,312,210,37,-1,-1,-1,-1
203,311,209,38,-1,-1,-1,-1
204,311,209,38,-1,-1,-1,-1
205,312,208,36,-1,-1,-1,-1
206,310,209,38,-1,-1,-1,-1
207,311,208,37,-1,-1,323,187
208,312,208,37,-1,-1,324,199
209,312,208,36,-1,-1,325,213
210,311,208,37,-1,-1,325,226
211,311,208,38,-1,-1,324,235
212,311,208,38,-1,-1,-1,-1
213,310,208,37,291,182,-1,-1
214,312,208,38,292,190,-1,-1
215,311,208,38,292,201,-1,-1
216,311,208,38,293,213,-1,-1
217,312,208,38,294,225,-1,-1
218,312,208,38,291,232,-1,-1
219,312,208,38,-1,-1,-1,-1
220,311,208,38,-1,-1,-1,-1
221,311,208,38,-1,-1,-1,-1
222,311,207,38,-1,-1,323,179
223,310,208,38,-1,-1,322,188
224,312,206,36,-1,-1,324,201
225,312,206,37,-1,-1,324,215
226,312,206,36,-1,-1,324,228
227,312,206,37,-1,-1,322,234
228,310,207,38,-1,-1,-1,-1
229,311,207,38,292,183,-1,-1
230,312,206,38,292,190,-1,-1
231,311,207,38,293,202,-1,-1
232,312,206,37,293,214,-1,-1
233,311,207,38,294,226,-1,-1
234,312,206,37,-1,-1,-1,-1
235,310,206,37,-1,-1,-1,-1
236,311,206,37,-1,-1,-1,-1
237,310,206,38,-1,-1,-1,-1
238,311,205,38,-1,-1,320,178
239,312,206,37,-1,-1,321,188
240,311,205,38,-1,-1,322,202
241,312,204,37,-1,-1,323,216
242,310,205,37,-1,-1,323,228
243,311,205,38,-1,-1,321,235
244,311,205,38,-1,-1,-1,-1
245,312,205,39,291,181,-1,-1
246,311,205,38,292,190,-1,-1
247,310,204,39,292,202,-1,-1
248,310,204,38,293,215,-1,-1
249,310,204,38,295,226,-1,-1
250,310,204,37,-1,-1,-1,-1
251,310,204,38,-1,-1,-1,-1
252,310,204,37,-1,-1,-1,-1
253,310,203,38,-1,-1,-1,-1
254,311,204,37,-1,-1,319,177
255,310,204,37,-1,-1,321,188
256,310,203,38,-1,-1,321,202
257,310,202,38,-1,-1,321,216
258,310,202,37,-1,-1,321,227
259,310,202,37,-1,-1,-1,-1
260,311,202,38,-1,-1,-1,-1
261,311,202,38,292,178,-1,-1
262,310,202,38,292,189,-1,-1
263,310,202,38,292,201,-1,-1
264,310,202,37,292,214,-1,-1
265,311,202,38,294,224,-1,-1
266,310,201,38,-1,-1,-1,-1
267,310,202,37,-1,-1,-1,-1
268,310,202,37,-1,-1,-1,-1
269,310,201,38,-1,-1,-1,-1
270,310,200,38,-1,-1,319,176
271,310,200,37,-1,-1,319,187
272,310,201,38,-1,-1,320,202
273,310,200,37,-1,-1,320,216
274,310,200,37,-1,-1,320,226
275,310,199,38,-1,-1,-1,-1
276,310,199,38,-1,-1,-1,-1
277,310,199,38,291,178,-1,-1
278,309,199,38,291,189,-1,-1
279,310,200,37,292,201,-1,-1
280,310,200,37,292,213,-1,-1
281,310,199,38,-1,-1,-1,-1
282,310,199,38,-1,-1,-1,-1
283,309,199,38,-1,-1,-1,-1
284,310,198,39,-1,-1,-1,-1
285,310,198,38,-1,-1,-1,-1
286,310,198,37,-1,-1,318,175
287,309,198,39,-1,-1,318,187
288,310,198,38,-1,-1,319,216
289,310,198,37,-1,-1,318,225
290,310,198,36,-1,-1,-1,-1
291,309,198,39,292,170,-1,-1
292,310,197,38,291,177,-1,-1
293,311,197,38,291,189,-1,-1
294,310,197,39,292,202,-1,-1
295,309,197,38,292,214,-1,-1
296,310,198,37,294,224,-1,-1
297,310,197,38,-1,-1,-1,-1
298,310,198,37,-1,-1,-1,-1
299,310,197,39,-1,-1,-1,-1
300,310,197,38,-1,-1,-1,-1
301,309,197,38,-1,-1,318,176
302,310,197,38,-1,-1,317,189
303,310,196,38,-1,-1,318,204
304,310,196,37,-1,-1,318,217
305,310,196,37,-1,-1,317,224
306,310,196,37,-1,-1,-1,-1
307,310,196,37,292,170,-1,-1
308,310,196,38,291,178,-1,-1
309,310,197,38,291,190,-1,-1
310,310,196,38,292,203,-1,-1
311,310,197,38,293,215,-1,-1
312,310,197,38,-1,-1,-1,-1
313,310,197,38,-1,-1,-1,-1
314,310,196,36,-1,-1,-1,-1
315,310,196,38,-1,-1,-1,-1
316,309,196,38,-1,-1,-1,-1
317,310,196,38,-1,-1,316,177
318,310,196,37,-1,-1,317,191
319,310,196,37,-1,-1,317,206
320,310,196,37,-1,-1,317,219
321,310,196,36,-1,-1,316,225
322,309,196,38,-1,-1,-1,-1
323,310,196,37,292,170,-1,-1
324,310,196,37,291,179,-1,-1
325,310,196,38,291,192,-1,-1
326,310,196,37,293,205,-1,-1
327,310,196,37,294,218,-1,-1
328,310,196,37,-1,-1,-1,-1
329,310,196,37,-1,-1,-1,-1
330,310,196,37,-1,-1,-1,-1
331,310,196,38,-1,-1,-1,-1
332,310,196,37,-1,-1,316,169
333,310,196,38,-1,-1,316,179
334,310,196,38,-1,-1,316,208
335,310,196,38,-1,-1,317,221
336,310,196,38,-1,-1,316,226
337,309,196,38,-1,-1,-1,-1
338,310,196,38,292,171,-1,-1
339,310,196,38,292,181,-1,-1
340,310,196,39,292,194,-1,-1
341,310,196,37,293,207,-1,-1
342,310,196,37,293,218,-1,-1
343,310,197,38,-1,-1,-1,-1
344,310,197,37,-1,-1,-1,-1
345,310,196,36,-1,-1,-1,-1
346,310,198,39,-1,-1,-1,-1
347,310,196,37,-1,-1,315,171
348,310,197,38,-1,-1,315,182
349,310,196,38,-1,-1,315,196
350,310,196,37,-1,-1,316,211
351,310,196,38,-1,-1,316,222
352,310,196,37,-1,-1,-1,-1
353,310,196,38,-1,-1,-1,-1
354,310,197,38,292,172,-1,-1
355,310,197,38,292,184,-1,-1
356,310,197,38,292,196,-1,-1
357,310,198,37,293,210,-1,-1
358,309,197,38,295,222,-1,-1
359,310,198,37,-1,-1,-1,-1
360,310,198,37,-1,-1,-1,-1
361,310,198,37,-1,-1,-1,-1
362,310,197,38,-1,-1,-1,-1
363,310,198,37,-1,-1,315,173
364,310,198,37,-1,-1,314,185
365,310,198,37,-1,-1,315,201
366,310,196,36,-1,-1,315,215
367,310,198,37,-1,-1,315,225
368,310,198,37,-1,-1,-1,-1
369,310,198,38,296,168,-1,-1
