frame,cx,cy,radius,red_x,red_y,blue_x,blue_y
0,312,192,37,325,210,-1,-1
1,312,192,36,328,211,-1,-1
2,312,192,37,331,213,-1,-1
3,312,192,37,332,213,-1,-1
4,312,192,37,333,214,-1,-1
5,312,192,37,-1,-1,-1,-1
6,311,191,38,-1,-1,-1,-1
7,311,191,38,-1,-1,-1,-1
8,311,191,38,-1,-1,-1,-1
9,312,192,37,-1,-1,-1,-1
10,312,192,37,-1,-1,-1,-1
11,312,192,37,-1,-1,-1,-1
12,312,191,37,-1,-1,-1,-1
13,312,192,37,-1,-1,-1,-1
14,312,192,37,-1,-1,282,200
15,311,191,38,-1,-1,283,204
16,312,191,38,-1,-1,-1,-1
17,312,190,36,-1,-1,-1,-1
18,312,191,38,-1,-1,-1,-1
19,312,191,38,-1,-1,-1,-1
20,312,190,38,-1,-1,-1,-1
21,312,191,37,-1,-1,-1,-1
22,312,190,38,331,164,-1,-1
23,312,191,37,328,165,-1,-1
24,312,191,38,327,165,-1,-1
25,312,191,37,324,166,-1,-1
26,312,190,37,322,167,-1,-1
27,311,191,38,320,169,-1,-1
28,312,190,37,318,172,-1,-1
29,312,190,37,317,176,-1,-1
30,312,190,37,316,180,-1,-1
31,312,190,38,316,184,-1,-1
32,312,190,37,316,188,-1,-1
33,312,190,37,317,192,-1,-1
34,312,190,38,318,196,-1,-1
35,312,190,37,319,200,-1,-1
36,312,190,37,321,203,-1,-1
37,312,190,36,323,206,-1,-1
38,312,190,38,325,209,-1,-1
39,312,190,38,327,210,-1,-1
40,312,190,37,331,212,-1,-1
41,312,190,37,332,212,-1,-1
42,312,190,38,337,210,-1,-1
43,312,190,37,-1,-1,-1,-1
44,312,190,38,-1,-1,-1,-1
45,312,190,38,-1,-1,-1,-1
46,312,190,36,-1,-1,-1,-1
47,312,190,38,-1,-1,-1,-1
48,312,190,36,-1,-1,-1,-1
49,312,190,38,-1,-1,-1,-1
50,312,190,36,-1,-1,-1,-1
51,312,190,38,-1,-1,280,192
52,312,190,36,-1,-1,-1,-1
53,312,190,38,-1,-1,-1,-1
54,312,190,36,-1,-1,-1,-1
55,312,190,36,-1,-1,-1,-1
56,312,190,37,-1,-1,-1,-1
57,313,190,37,-1,-1,-1,-1
58,314,191,36,-1,-1,-1,-1
59,313,189,38,-1,-1,-1,-1
60,312,189,38,-1,-1,-1,-1
61,312,189,38,329,163,-1,-1
62,312,189,38,326,162,-1,-1
63,313,189,38,323,163,-1,-1
64,312,189,38,321,165,-1,-1
65,312,189,38,319,168,-1,-1
66,312,189,38,318,171,-1,-1
67,312,189,38,316,174,-1,-1
68,312,188,36,316,178,-1,-1
69,313,190,37,315,182,-1,-1
70,312,188,36,316,191,-1,-1
71,313,189,38,317,194,-1,-1
