timestamp,mode,u_xy_px,v_xy_px,v_z_px,x_mm,y_mm,z_mm,center_x_mm,center_y_mm,center_z_mm,autd_target_x_mm,autd_target_y_mm,autd_target_z_mm
1777268080.5583,FIXED,333.50,230.79,330.51,278.472,217.895,397.721,278.625,218.113,400.000,278.625,218.113,409.940
1777268080.5997,FIXED,333.50,230.79,330.50,278.472,217.895,397.730,278.625,218.113,400.000,278.625,218.113,409.940
1777268080.6049,FIXED,333.92,230.81,329.00,278.844,217.883,398.665,278.625,218.113,400.000,278.625,218.113,409.940
1777268080.6063,FIXED,333.84,230.47,329.47,278.769,218.181,398.373,278.625,218.113,400.000,278.625,218.113,409.940
1777268080.6098,FIXED,333.84,230.47,329.78,278.769,218.181,398.178,278.625,218.113,400.000,278.625,218.113,409.940
1777268080.6159,FIXED,333.50,230.40,329.30,278.464,218.232,398.478,278.625,218.113,400.000,278.625,218.113,409.940
1777268080.6171,FIXED,333.70,230.35,329.30,278.643,218.277,398.478,278.625,218.113,400.000,278.625,218.113,409.940
1777268080.6242,FIXED,333.91,230.28,329.50,278.824,218.346,398.353,278.625,218.113,400.000,278.625,218.113,409.940
1777268080.6257,FIXED,333.50,230.42,329.50,278.464,218.215,398.353,278.625,218.113,400.000,278.625,218.113,409.940
1777268080.6318,FIXED,333.66,230.35,329.32,278.607,218.278,398.465,278.625,218.113,400.000,278.625,218.113,409.940
1777268080.6328,FIXED,333.66,230.35,329.53,278.607,218.278,398.332,278.625,218.113,400.000,278.625,218.113,409.940
1777268080.6338,FIXED,333.62,230.47,329.53,278.570,218.175,398.332,278.625,218.113,400.000,278.625,218.113,409.940
1777268080.6379,FIXED,333.55,230.50,329.07,278.510,218.145,398.620,278.625,218.113,400.000,278.625,218.113,409.940
1777268080.6443,FIXED,333.55,230.50,328.50,278.510,218.145,398.976,278.625,218.113,400.000,278.625,218.113,409.940
1777268080.6457,FIXED,333.50,230.62,328.50,278.469,218.035,398.976,278.625,218.113,400.000,278.625,218.113,409.940
1777268080.6521,FIXED,333.50,230.74,329.11,278.471,217.931,398.595,278.625,218.113,400.000,278.625,218.113,409.940
1777268080.6540,FIXED,333.01,230.97,329.11,278.038,217.721,398.595,278.625,218.113,400.000,278.625,218.113,409.940
1777268080.6584,FIXED,333.50,231.00,328.00,278.476,217.709,399.288,278.625,218.113,400.000,278.625,218.113,409.940
1777268080.6644,FIXED,334.00,231.00,327.50,278.918,217.723,399.600,278.625,218.113,400.000,278.625,218.113,409.940
1777268080.6709,FIXED,333.53,230.91,327.00,278.497,217.787,399.911,278.625,218.113,400.000,278.625,218.113,409.940
1777268080.6729,FIXED,333.53,230.91,326.73,278.497,217.787,400.080,278.625,218.113,400.000,278.625,218.113,409.940
1777268080.6771,FIXED,333.50,231.13,326.73,278.479,217.594,400.080,278.625,218.113,400.000,278.625,218.113,409.940
1777268080.6780,FIXED,333.50,231.13,326.16,278.479,217.594,400.432,278.625,218.113,400.000,278.625,218.113,409.940
1777268080.6844,FIXED,334.00,231.00,325.50,278.918,217.723,400.846,278.625,218.113,400.000,278.625,218.113,409.940
1777268080.6908,FIXED,333.84,231.13,325.73,278.780,217.609,400.700,278.625,218.113,400.000,278.625,218.113,409.940
1777268080.6971,FIXED,333.92,230.83,324.53,278.848,217.866,401.453,278.625,218.113,400.000,278.625,218.113,409.940
1777268080.6986,FIXED,333.92,230.83,324.00,278.848,217.866,401.781,278.625,218.113,400.000,278.625,218.113,409.940
1777268080.6999,FIXED,333.76,230.73,324.00,278.703,217.949,401.781,278.625,218.113,400.000,278.625,218.113,409.940
