timestamp,session_mode,mode,u_xy_px,v_xy_px,v_z_px,x_mm,y_mm,z_mm,center_x_mm,center_y_mm,center_z_mm,autd_target_x_mm,autd_target_y_mm,autd_target_z_mm,z_drop_mm,vz_mm_s,predicted_z_mm,predicted_vz_mm_s,required_force_mN,commanded_intensity,capture_force_saturated,temporary_home_x,temporary_home_y,temporary_home_z,mode_transition_reason
1784802434.2782,FIXED,NORMAL_HOLD,330.58,232.96,338.32,283.342,223.301,385.970,278.625,218.113,400.000,278.625,218.113,400.000,14.030,,,,,,0,278.625,218.113,400.000,
1784802434.2799,FIXED,NORMAL_HOLD,330.50,232.97,336.62,283.264,223.233,387.000,278.625,218.113,400.000,278.625,218.113,400.000,13.000,,,,,,0,278.625,218.113,400.000,
1784802434.2841,FIXED,NORMAL_HOLD,330.00,233.09,336.95,282.793,223.181,386.781,278.625,218.113,400.000,278.625,218.113,400.000,13.219,,,,,,0,278.625,218.113,400.000,
1784802434.2909,FIXED,NORMAL_HOLD,330.00,233.14,336.41,282.792,223.147,387.114,278.625,218.113,400.000,278.625,218.113,400.000,12.886,,,,,,0,278.625,218.113,400.000,
1784802434.2953,FIXED,NORMAL_HOLD,329.80,233.04,335.43,282.607,223.092,387.697,278.625,218.113,400.000,278.625,218.113,400.000,12.303,,,,,,0,278.625,218.113,400.000,
1784802434.3004,FIXED,NORMAL_HOLD,329.75,233.03,335.50,282.553,223.168,387.657,278.625,218.113,400.000,278.625,218.113,400.000,12.343,,,,,,0,278.625,218.113,400.000,
1784802434.3079,FIXED,NORMAL_HOLD,329.64,232.93,334.10,282.446,223.177,388.504,278.625,218.113,400.000,278.625,218.113,400.000,11.496,,,,,,0,278.625,218.113,400.000,
1784802434.3098,FIXED,NORMAL_HOLD,329.50,233.00,333.36,282.307,223.174,388.952,278.625,218.113,400.000,278.625,218.113,400.000,11.048,,,,,,0,278.625,218.113,400.000,
1784802434.3146,FIXED,NORMAL_HOLD,329.19,232.97,333.54,282.008,223.274,388.840,278.625,218.113,400.000,278.625,218.113,400.000,11.160,,,,,,0,278.625,218.113,400.000,
1784802434.3210,FIXED,NORMAL_HOLD,329.70,232.88,332.91,282.485,223.383,389.239,278.625,218.113,400.000,278.625,218.113,400.000,10.761,,,,,,0,278.625,218.113,400.000,
1784802434.3239,FIXED,NORMAL_HOLD,329.73,232.69,332.11,282.505,223.469,389.722,278.625,218.113,400.000,278.625,218.113,400.000,10.278,,,,,,0,278.625,218.113,400.000,
