timestamp,mode,u_xy_px,v_xy_px,v_z_px,x_mm,y_mm,z_mm,center_x_mm,center_y_mm,center_z_mm,autd_target_x_mm,autd_target_y_mm,autd_target_z_mm
1777281772.3907,FIXED,331.53,229.89,323.72,276.714,218.620,401.955,278.625,218.113,400.000,278.625,218.113,400.000
1777281772.3918,FIXED,331.98,229.79,323.00,277.104,218.718,402.404,278.625,218.113,400.000,278.625,218.113,400.000
1777281772.3976,FIXED,332.00,229.79,323.00,277.125,218.718,402.404,278.625,218.113,400.000,278.625,218.113,400.000
1777281772.4058,FIXED,332.00,229.72,322.60,277.124,218.781,402.652,278.625,218.113,400.000,278.625,218.113,400.000
1777281772.4067,FIXED,332.00,229.72,322.60,277.124,218.781,402.652,278.625,218.113,400.000,278.625,218.113,400.000
1777281772.4137,FIXED,332.00,229.72,321.50,277.124,218.781,403.339,278.625,218.113,400.000,278.625,218.113,400.000
1777281772.4158,FIXED,332.00,229.72,321.50,277.124,218.781,403.339,278.625,218.113,400.000,278.625,218.113,400.000
1777281772.4199,FIXED,332.00,229.72,321.50,277.124,218.781,403.339,278.625,218.113,400.000,278.625,218.113,400.000
1777281772.4220,FIXED,331.92,229.51,321.50,277.045,218.963,403.339,278.625,218.113,400.000,278.625,218.113,400.000
1777281772.4276,FIXED,331.88,229.51,321.00,277.011,218.959,403.650,278.625,218.113,400.000,278.625,218.113,400.000
1777281772.4356,FIXED,331.11,229.45,320.35,276.333,218.993,404.054,278.625,218.113,400.000,278.625,218.113,400.000
1777281772.4364,FIXED,332.00,229.50,320.35,277.119,218.971,404.054,278.625,218.113,400.000,278.625,218.113,400.000
1777281772.4439,FIXED,331.50,229.56,321.00,276.678,218.904,403.650,278.625,218.113,400.000,278.625,218.113,400.000
1777281772.4459,FIXED,331.50,229.56,319.58,276.678,218.904,404.536,278.625,218.113,400.000,278.625,218.113,400.000
1777281772.4500,FIXED,331.52,229.56,319.58,276.697,218.904,404.536,278.625,218.113,400.000,278.625,218.113,400.000
1777281772.4510,FIXED,331.52,229.56,319.50,276.697,218.904,404.588,278.625,218.113,400.000,278.625,218.113,400.000
1777281772.4571,FIXED,332.00,229.50,319.85,277.119,218.971,404.364,278.625,218.113,400.000,278.625,218.113,400.000
1777281772.4651,FIXED,331.60,229.50,320.35,276.766,218.960,404.058,278.625,218.113,400.000,278.625,218.113,400.000
1777281772.4669,FIXED,331.60,229.50,320.35,276.766,218.960,404.058,278.625,218.113,400.000,278.625,218.113,400.000
1777281772.4713,FIXED,331.60,229.50,320.21,276.766,218.960,404.145,278.625,218.113,400.000,278.625,218.113,400.000
1777281772.4738,FIXED,332.00,229.50,320.21,277.119,218.971,404.145,278.625,218.113,400.000,278.625,218.113,400.000
1777281772.4791,FIXED,332.00,229.45,319.42,277.118,219.016,404.637,278.625,218.113,400.000,278.625,218.113,400.000
1777281772.4811,FIXED,332.00,229.45,319.09,277.118,219.016,404.838,278.625,218.113,400.000,278.625,218.113,400.000
1777281772.4852,FIXED,331.93,229.45,319.09,277.052,219.015,404.838,278.625,218.113,400.000,278.625,218.113,400.000
