timestamp,session_mode,mode,u_xy_px,v_xy_px,v_z_px,x_mm,y_mm,z_mm,center_x_mm,center_y_mm,center_z_mm,autd_target_x_mm,autd_target_y_mm,autd_target_z_mm,z_drop_mm,vz_mm_s,predicted_z_mm,predicted_vz_mm_s,required_force_mN,commanded_intensity,capture_force_saturated,temporary_home_x,temporary_home_y,temporary_home_z,mode_transition_reason
1784806860.7093,PID_NO_DELAY,NORMAL_HOLD,326.79,239.63,319.00,279.990,217.024,397.679,278.625,218.113,400.000,271.998,214.941,407.743,2.321,11.035,,,,,0,278.625,218.113,400.000,
1784806860.7175,PID_NO_DELAY,NORMAL_HOLD,327.30,239.68,318.53,280.465,216.984,397.968,278.625,218.113,400.000,269.641,214.795,406.379,2.032,19.566,,,,,0,278.625,218.113,400.000,
1784806860.7214,PID_NO_DELAY,NORMAL_HOLD,327.00,239.59,319.28,280.182,217.079,397.508,278.625,218.113,400.000,272.394,214.026,408.328,2.492,6.739,,,,,0,278.625,218.113,400.000,
1784806860.7235,PID_NO_DELAY,NORMAL_HOLD,326.92,239.67,319.00,280.103,217.064,397.681,278.625,218.113,400.000,272.747,214.203,408.323,2.319,6.678,,,,,0,278.625,218.113,400.000,
1784806860.7297,PID_NO_DELAY,NORMAL_HOLD,326.92,239.61,318.64,280.110,217.090,397.904,278.625,218.113,400.000,272.483,214.068,407.550,2.096,11.500,,,,,0,278.625,218.113,400.000,
1784806860.7330,PID_NO_DELAY,NORMAL_HOLD,326.65,239.50,319.00,279.858,217.163,397.681,278.625,218.113,400.000,273.665,213.774,408.536,2.319,4.968,,,,,0,278.625,218.113,400.000,
1784806860.7393,PID_NO_DELAY,NORMAL_HOLD,327.00,239.50,319.00,280.176,217.184,397.681,278.625,218.113,400.000,271.276,213.866,408.992,2.319,1.957,,,,,0,278.625,218.113,400.000,
1784806860.7455,PID_NO_DELAY,NORMAL_HOLD,327.00,239.50,319.34,280.175,217.201,397.475,278.625,218.113,400.000,271.780,213.941,410.206,2.525,-5.870,,,,,0,278.625,218.113,400.000,
1784806860.7505,PID_NO_DELAY,NORMAL_HOLD,326.67,239.35,319.93,279.866,217.256,397.106,278.625,218.113,400.000,273.524,213.796,411.829,2.894,-16.049,,,,,0,278.625,218.113,400.000,
1784806860.7539,PID_NO_DELAY,NORMAL_HOLD,327.33,239.30,319.84,280.477,217.358,397.165,278.625,218.113,400.000,269.599,213.423,412.184,2.835,-18.043,,,,,0,278.625,218.113,400.000,
1784806860.7600,PID_NO_DELAY,NORMAL_HOLD,327.23,239.12,320.00,280.381,217.466,397.067,278.625,218.113,400.000,271.425,213.172,412.386,2.933,-19.007,,,,,0,278.625,218.113,400.000,
1784806860.7632,PID_NO_DELAY,NORMAL_HOLD,327.78,239.13,319.50,280.885,217.513,397.374,278.625,218.113,400.000,269.211,213.393,410.548,2.626,-6.846,,,,,0,278.625,218.113,400.000,
1784806860.7685,PID_NO_DELAY,NORMAL_HOLD,327.31,239.12,320.00,280.456,217.487,397.067,278.625,218.113,400.000,272.924,213.881,411.179,2.933,-10.752,,,,,0,278.625,218.113,400.000,
1784806860.7753,PID_NO_DELAY,NORMAL_HOLD,327.40,239.02,320.26,280.530,217.570,396.911,278.625,218.113,400.000,272.167,213.555,411.902,3.089,-15.171,,,,,0,278.625,218.113,400.000,
1784806860.7799,PID_NO_DELAY,NORMAL_HOLD,327.21,239.00,320.42,280.357,217.551,396.809,278.625,218.113,400.000,273.071,213.916,412.143,3.191,-16.368,,,,,0,278.625,218.113,400.000,
1784806860.7852,PID_NO_DELAY,NORMAL_HOLD,327.50,239.00,319.74,280.629,217.552,397.226,278.625,218.113,400.000,271.188,213.992,409.953,2.774,-1.981,,,,,0,278.625,218.113,400.000,
1784806860.7916,PID_NO_DELAY,NORMAL_HOLD,327.00,239.00,319.35,280.167,217.526,397.461,278.625,218.113,400.000,274.053,214.171,408.111,2.539,9.874,,,,,0,278.625,218.113,400.000,
1784806860.7943,PID_NO_DELAY,NORMAL_HOLD,327.00,239.00,319.50,280.163,217.579,397.374,278.625,218.113,400.000,273.181,213.845,408.073,2.626,9.931,,,,,0,278.625,218.113,400.000,
1784806860.7993,PID_NO_DELAY,NORMAL_HOLD,327.00,239.00,319.72,280.168,217.519,397.238,278.625,218.113,400.000,272.700,214.261,408.901,2.762,4.444,,,,,0,278.625,218.113,400.000,
1784806860.8062,PID_NO_DELAY,NORMAL_HOLD,326.68,239.19,320.36,279.866,217.462,396.847,278.625,218.113,400.000,274.147,214.491,411.146,3.153,-10.029,,,,,0,278.625,218.113,400.000,
1784806860.8090,PID_NO_DELAY,NORMAL_HOLD,327.35,239.04,319.50,280.491,217.480,397.371,278.625,218.113,400.000,269.944,214.204,409.276,2.629,2.159,,,,,0,278.625,218.113,400.000,
1784806860.8143,PID_NO_DELAY,NORMAL_HOLD,327.47,239.01,319.46,280.599,217.546,397.394,278.625,218.113,400.000,270.524,213.830,408.565,2.606,6.675,,,,,0,278.625,218.113,400.000,
