timestamp,mode,u_xy_px,v_xy_px,v_z_px,x_mm,y_mm,z_mm,center_x_mm,center_y_mm,center_z_mm,autd_target_x_mm,autd_target_y_mm,autd_target_z_mm
1776939612.4242,FIXED,337.00,230.28,327.00,281.556,218.431,399.911,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.4286,FIXED,337.00,230.28,327.27,281.556,218.431,399.742,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.4299,FIXED,337.11,230.23,327.27,281.650,218.478,399.742,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.4354,FIXED,337.11,230.23,326.89,281.650,218.478,399.980,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.4370,FIXED,336.77,230.03,327.23,281.345,218.647,399.768,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.4431,FIXED,336.88,230.00,326.00,281.440,218.673,400.534,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.4439,FIXED,337.00,230.00,326.00,281.550,218.676,400.534,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.4498,FIXED,337.00,230.00,325.79,281.550,218.676,400.665,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.4519,FIXED,337.00,230.00,326.42,281.550,218.676,400.270,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.4576,FIXED,336.68,229.96,326.03,281.268,218.700,400.517,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.4597,FIXED,336.67,229.84,326.03,281.253,218.802,400.517,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.4653,FIXED,336.30,229.91,326.16,280.930,218.733,400.437,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.4678,FIXED,336.30,229.91,326.98,280.930,218.733,399.922,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.4712,FIXED,336.46,229.92,326.98,281.067,218.734,399.922,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.4721,FIXED,336.46,229.92,327.39,281.067,218.734,399.667,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.4781,FIXED,336.10,229.89,327.32,280.750,218.748,399.713,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.4885,FIXED,336.10,229.97,327.50,280.753,218.681,399.600,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.4947,FIXED,336.00,230.00,327.49,280.666,218.648,399.605,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.5053,FIXED,336.00,230.01,327.80,280.666,218.639,399.415,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.5073,FIXED,336.00,230.01,328.00,280.666,218.639,399.288,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.5125,FIXED,335.75,230.12,328.31,280.448,218.532,399.095,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.5150,FIXED,335.74,230.20,328.31,280.443,218.467,399.095,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.5207,FIXED,335.71,230.23,328.61,280.413,218.443,398.908,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.5216,FIXED,335.71,230.23,328.57,280.413,218.443,398.930,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.5276,FIXED,335.66,230.28,328.45,280.367,218.399,399.005,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.5294,FIXED,335.97,230.50,328.45,280.653,218.213,399.005,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.5375,FIXED,335.97,230.50,328.27,280.653,218.213,399.118,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.5391,FIXED,336.17,230.69,328.27,280.831,218.049,399.118,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.5448,FIXED,336.00,230.83,328.93,280.683,217.924,398.710,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.5540,FIXED,335.88,230.98,328.50,280.580,217.793,398.976,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.5600,FIXED,335.72,231.00,328.80,280.443,217.771,398.789,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.5661,FIXED,335.68,231.25,327.91,280.412,217.557,399.344,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.5670,FIXED,335.68,231.25,328.50,280.412,217.557,398.976,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.5725,FIXED,335.81,231.32,327.94,280.529,217.497,399.323,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.5742,FIXED,335.96,231.64,327.94,280.662,217.223,399.323,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.5787,FIXED,335.96,231.64,327.50,280.662,217.223,399.600,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.5795,FIXED,335.62,231.55,327.50,280.361,217.290,399.600,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.5849,FIXED,335.66,231.76,327.50,280.403,217.109,399.600,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.5913,FIXED,335.85,231.77,328.00,280.566,217.104,399.288,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.5933,FIXED,335.85,231.77,328.44,280.566,217.104,399.015,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.5977,FIXED,335.70,231.88,328.58,280.440,217.003,398.930,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.5996,FIXED,335.70,231.91,328.58,280.439,216.977,398.930,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.6042,FIXED,335.70,231.91,329.00,280.439,216.977,398.668,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.6050,FIXED,335.24,231.91,329.00,280.029,216.965,398.668,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.6115,FIXED,335.22,232.00,329.50,280.016,216.888,398.353,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.6133,FIXED,335.22,232.00,328.62,280.016,216.888,398.904,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.6215,FIXED,335.30,232.15,329.45,280.087,216.756,398.382,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.6235,FIXED,335.30,232.15,329.40,280.087,216.756,398.414,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.6286,FIXED,335.24,232.18,329.81,280.036,216.728,398.161,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.6371,FIXED,334.96,232.38,330.50,279.791,216.548,397.730,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.6382,FIXED,334.96,232.38,331.26,279.791,216.548,397.255,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.6441,FIXED,335.00,232.38,332.06,279.831,216.549,396.757,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.6450,FIXED,334.75,232.44,332.06,279.609,216.490,396.757,278.625,218.113,400.000,278.625,218.113,400.000
1776939612.6546,FIXED,334.85,232.39,332.67,279.699,216.540,396.378,278.625,218.113,400.000,278.625,218.113,400.000
