timestamp,u_mean,v_mean,n_samples,x_cmd_mm,y_cmd_mm,z_cmd_mm
2026-04-23 18:36:12,333.5935481252846,230.0230811745111,2445,0.0,0.0,400.0
2026-04-23 18:36:57,332.1414356354744,265.22630175846876,2325,0.0,-30.0,400.0
2026-04-23 18:37:27,332.22947683018236,277.3647022748168,2323,0.0,-40.0,400.0
2026-04-23 18:38:10,356.3420683099318,265.17763217988454,2322,20.0,-30.0,400.0
2026-04-23 18:38:50,366.961993672008,247.91275821065554,2331,30.0,-14.0,400.0
2026-04-23 18:40:44,358.75290669308436,231.9646216122913,2370,22.0,0.0,400.0
2026-04-23 18:41:24,353.6119589870041,217.02100911333756,2368,18.0,12.0,400.0
2026-04-23 18:41:58,345.6326763525555,208.80495554028136,2376,10.0,20.0,400.0
2026-04-23 18:43:57,333.8824820311523,218.4676486375811,2373,0.0,10.0,400.0
2026-04-23 18:44:26,323.320786847634,218.34240728124198,2372,-10.0,10.0,400.0
2026-04-23 18:45:00,311.2528234096805,220.31227408890175,2373,-20.0,8.0,400.0
2026-04-23 18:45:29,299.69535608826584,229.64368488918322,2371,-30.0,0.0,400.0
2026-04-23 18:45:54,310.7013642810028,242.30756053587118,2374,-20.0,-10.0,400.0
2026-04-23 18:46:20,322.5349093189946,234.22856676377833,2376,-10.0,-4.0,400.0
2026-04-23 18:46:47,340.63643043579464,221.7084538105533,2361,6.0,8.0,400.0
