timestamp,v_mean,n_samples,z_cmd_mm,u_mean,r_mean
2026-04-28 12:38:08,323.8106880961985,2415,400.0,240.53590468254643,40.097930050488586
2026-04-28 12:38:36,316.9495782151466,2409,404.0,241.3165234114036,40.19617233339708
2026-04-28 12:39:27,308.3295645848506,2301,408.0,239.39736533962815,40.093845818365
2026-04-28 12:39:46,307.6502043668889,2299,410.0,239.91422392856353,40.020167071594265
2026-04-28 12:40:05,301.0747468821318,2297,414.0,240.91650285002558,40.07350507444748
2026-04-28 12:40:24,294.4228826705269,2300,418.0,241.6220409094769,40.18544140857199
2026-04-28 12:40:49,329.79663105235574,2293,396.0,240.07964033150952,40.003927744063965
2026-04-28 12:41:11,336.35452547458476,2303,392.0,238.9465352835678,39.82858554642976
2026-04-28 12:42:09,338.30677144403916,2297,388.0,238.36107455142746,40.06862094000624
2026-04-28 12:42:51,345.3092206731484,2313,384.0,238.68909080627415,40.23094668720277
