cam_x_mm,cam_y_mm,cam_z_mm,autd_x_mm,autd_y_mm,autd_z_mm,note
-87.6,80.3,483.2,192.0,151.4,363.0,左下 (d = 23mm)
5.9,82.4,482.3,288.0,151.4,363.0,中心下
5.3,13.2,482.8,288.0,227.1,363.0,中心
-83.8,-69.0,482.8,192.0,302.8,363.0,左上
9.3,-68.5,482.7,288.0,302.8,363.0,中心上
112.9,13.7,481.9,384.0,227.1,363.0,中心右
-89.3,78.6,402.1,192.0,151.4,443.0,左下 (d = 23mm)
6.7,77.0,401.7,288.0,151.4,443.0,中心下
8.6,5.2,402.3,288.0,227.1,443.0,中心
-81.1,-73.6,401.9,192.0,302.8,443.0,左上
11.1,-73.7,401.8,288.0,302.8,443.0,中心上
113.0,11.5,400.6,384.0,227.1,443.0,中心右
-91.0,77.7,422.4,192.0,151.4,423.0,左下 (d = 23mm)
3.5,77.3,422.1,288.0,151.4,423.0,中心下
5.6,8.9,422.5,288.0,227.1,423.0,中心
-82.5,-72.6,422.3,192.0,302.8,423.0,左上
10.3,-73.1,422.3,288.0,302.8,423.0,中心上
113.5,11.9,421.6,384.0,227.1,423.0,中心右
-87.5,80.3,463.2,192.0,151.4,383.0,左下 (d = 23mm)
7.5,79.7,463.7,288.0,151.4,383.0,中心下
7.1,10.6,463.0,288.0,227.1,383.0,中心
-83.0,-70.3,463.6,192.0,302.8,383.0,左上
10.2,-71.1,462.9,288.0,302.8,383.0,中心上
110.1,13.5,462.5,384.0,227.1,383.0,中心右
