timestamp,session_mode,mode,u_xy_px,v_xy_px,v_z_px,x_mm,y_mm,z_mm,center_x_mm,center_y_mm,center_z_mm,autd_target_x_mm,autd_target_y_mm,autd_target_z_mm,z_drop_mm,vz_mm_s,predicted_z_mm,predicted_vz_mm_s,required_force_mN,commanded_intensity,capture_force_saturated,temporary_home_x,temporary_home_y,temporary_home_z,mode_transition_reason
1785142150.3015,PID,NORMAL_HOLD,324.00,239.00,318.50,277.406,217.338,397.989,278.625,218.113,400.000,270.771,211.194,396.728,2.011,15.907,,,,,0,278.625,218.113,400.000,
1785142150.3029,PID,NORMAL_HOLD,323.50,239.00,318.50,276.945,217.312,397.990,278.625,218.113,400.000,273.490,211.653,396.252,2.010,18.571,,,,,0,278.625,218.113,400.000,
1785142150.3066,PID,NORMAL_HOLD,323.77,238.90,319.50,277.184,217.462,397.372,278.625,218.113,400.000,271.168,210.862,399.574,2.628,-2.273,,,,,0,278.625,218.113,400.000,
1785142150.3146,PID,NORMAL_HOLD,323.77,238.90,318.50,277.187,217.468,397.992,278.625,218.113,400.000,271.387,211.306,397.718,2.008,9.223,,,,,0,278.625,218.113,400.000,
1785142150.3184,PID,NORMAL_HOLD,323.98,238.91,318.50,277.377,217.536,397.994,278.625,218.113,400.000,270.525,211.207,397.232,2.006,12.055,,,,,0,278.625,218.113,400.000,
1785142150.3232,PID,NORMAL_HOLD,323.50,238.89,318.46,276.933,217.518,398.022,278.625,218.113,400.000,273.676,211.615,397.202,1.978,12.024,,,,,0,278.625,218.113,400.000,
1785142150.3287,PID,NORMAL_HOLD,323.50,238.89,317.50,276.936,217.540,398.616,278.625,218.113,400.000,272.686,211.579,394.598,1.384,27.870,,,,,0,278.625,218.113,400.000,
1785142150.3323,PID,NORMAL_HOLD,323.69,238.85,317.82,277.117,217.499,398.413,278.625,218.113,400.000,271.197,211.920,395.331,1.587,22.818,,,,,0,278.625,218.113,400.000,
1785142150.3373,PID,NORMAL_HOLD,324.00,238.91,318.35,277.397,217.505,398.083,278.625,218.113,400.000,269.833,211.830,397.673,1.917,7.935,,,,,0,278.625,218.113,400.000,
1785142150.3443,PID,NORMAL_HOLD,324.00,239.00,318.00,277.400,217.438,398.303,278.625,218.113,400.000,270.690,212.187,397.598,1.697,8.264,,,,,0,278.625,218.113,400.000,
