epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.3475,0.51731,2.41003,0.8736,0.00322,1,0.86932,0.72878,0.58599,3.2715,0.84867,0.00038,0.00038,0.00038
2,59.984,0.5292,1.34903,0.85685,0.00322,1,0.62798,0.56442,0.48797,3.37254,0.85208,0.000764556,0.000764556,0.000764556
3,80.3044,0.54479,1.18803,0.8649,0.00322,1,0.14288,0.12517,0.44863,3.43765,0.82524,0.00113327,0.00113327,0.00113327
4,99.4514,0.53164,1.15398,0.86799,1,0.84069,0.92523,0.84548,0.46488,2.97211,0.82281,0.00148615,0.00148615,0.00148615
5,119.761,0.49927,1.03194,0.85988,0.99927,1,0.995,0.92017,0.39107,1.65388,0.8004,0.00182318,0.00182318,0.00182318
6,139.807,0.48412,0.89977,0.86224,0.99917,1,0.995,0.90609,0.41854,1.14235,0.81215,0.001802,0.001802,0.001802
7,162.02,0.45906,0.80833,0.85776,0.99951,1,0.995,0.94922,0.34882,0.9011,0.78558,0.0017624,0.0017624,0.0017624
8,188.1,0.47167,0.78707,0.87087,0.99907,1,0.995,0.94429,0.36729,0.82227,0.7857,0.0017228,0.0017228,0.0017228
9,213.797,0.46805,0.70311,0.85292,0.99911,1,0.995,0.91375,0.38173,0.70597,0.80595,0.0016832,0.0016832,0.0016832
10,238.269,0.46061,0.64233,0.85248,0.99897,1,0.995,0.938,0.34954,0.66885,0.77954,0.0016436,0.0016436,0.0016436
11,266.532,0.43537,0.57999,0.84633,0.99932,0.98851,0.98503,0.93006,0.33756,0.57922,0.77999,0.001604,0.001604,0.001604
12,294.644,0.4405,0.56603,0.84097,0.99928,1,0.995,0.93024,0.35936,0.60026,0.78195,0.0015644,0.0015644,0.0015644
13,317.771,0.41464,0.54483,0.84608,0.99937,1,0.995,0.93336,0.32799,0.53462,0.78004,0.0015248,0.0015248,0.0015248
14,347.931,0.4218,0.51329,0.83943,0.99933,0.93103,0.9351,0.88797,0.35678,0.48902,0.78617,0.0014852,0.0014852,0.0014852
15,380.685,0.41491,0.47774,0.84023,0.99929,0.87356,0.87523,0.82234,0.33401,0.45673,0.77747,0.0014456,0.0014456,0.0014456
16,410.073,0.38416,0.45351,0.84443,0.99936,0.98851,0.98503,0.94539,0.28433,0.40353,0.76643,0.001406,0.001406,0.001406
17,435.375,0.39805,0.43652,0.83227,0.99881,1,0.995,0.95834,0.30207,0.42913,0.76783,0.0013664,0.0013664,0.0013664
18,463.101,0.40572,0.43597,0.83597,0.99926,1,0.995,0.95204,0.30984,0.39182,0.77353,0.0013268,0.0013268,0.0013268
19,493.401,0.39232,0.41588,0.83732,0.99935,0.94253,0.94513,0.90926,0.30195,0.36141,0.76847,0.0012872,0.0012872,0.0012872
20,526.071,0.4006,0.40334,0.83772,0.99922,0.8046,0.80568,0.77931,0.31331,0.34192,0.77072,0.0012476,0.0012476,0.0012476
21,559.139,0.39425,0.38029,0.84249,0.99925,0.89655,0.89553,0.8555,0.31151,0.33686,0.77412,0.001208,0.001208,0.001208
22,593.67,0.36724,0.36907,0.83016,0.99919,0.83908,0.83644,0.81678,0.27051,0.30654,0.76619,0.0011684,0.0011684,0.0011684
23,629.38,0.35562,0.36217,0.82279,0.99907,0.86207,0.86798,0.85176,0.26073,0.33812,0.76385,0.0011288,0.0011288,0.0011288
24,658.719,0.34921,0.34574,0.82915,0.99936,1,0.995,0.97027,0.28809,0.30623,0.76811,0.0010892,0.0010892,0.0010892
25,686.505,0.35069,0.34149,0.82003,0.99938,1,0.995,0.95715,0.26832,0.30134,0.76334,0.0010496,0.0010496,0.0010496
26,714.823,0.35961,0.33012,0.82779,0.99938,1,0.995,0.95764,0.26608,0.28389,0.76335,0.00101,0.00101,0.00101
27,742.714,0.3557,0.32499,0.81859,0.99937,1,0.995,0.96315,0.27901,0.29311,0.76559,0.0009704,0.0009704,0.0009704
28,769.187,0.3572,0.33288,0.8367,0.99935,1,0.995,0.97886,0.2936,0.28057,0.77106,0.0009308,0.0009308,0.0009308
29,791.864,0.34806,0.32312,0.8188,0.99932,1,0.995,0.98234,0.25132,0.26962,0.76402,0.0008912,0.0008912,0.0008912
30,814.539,0.34735,0.31857,0.81769,0.99932,1,0.995,0.97803,0.25804,0.26157,0.76171,0.0008516,0.0008516,0.0008516
31,837.088,0.33323,0.29746,0.82205,0.99934,1,0.995,0.9812,0.24791,0.24476,0.76015,0.000812,0.000812,0.000812
32,861.252,0.33526,0.30288,0.80218,0.99937,1,0.995,0.96932,0.25803,0.25876,0.76085,0.0007724,0.0007724,0.0007724
33,884.455,0.32329,0.28849,0.81744,0.99937,1,0.995,0.97267,0.26158,0.24697,0.75965,0.0007328,0.0007328,0.0007328
34,908.42,0.31944,0.28029,0.81308,0.99938,1,0.995,0.97829,0.25165,0.24981,0.76077,0.0006932,0.0006932,0.0006932
35,932.161,0.3245,0.28793,0.82093,0.99939,1,0.995,0.9709,0.24709,0.22837,0.76038,0.0006536,0.0006536,0.0006536
36,957.079,0.35364,0.28746,0.81772,0.99937,1,0.995,0.97585,0.25942,0.23165,0.76003,0.000614,0.000614,0.000614
37,981.706,0.3117,0.27977,0.81661,0.99937,1,0.995,0.98206,0.23549,0.21909,0.75881,0.0005744,0.0005744,0.0005744
38,1004.97,0.31605,0.27571,0.81523,0.99939,1,0.995,0.9713,0.24645,0.2237,0.7607,0.0005348,0.0005348,0.0005348
39,1029.53,0.30074,0.2581,0.80815,0.99937,1,0.995,0.97851,0.24323,0.22708,0.75914,0.0004952,0.0004952,0.0004952
40,1053.32,0.31457,0.26564,0.82681,0.99938,1,0.995,0.97787,0.23618,0.2101,0.75965,0.0004556,0.0004556,0.0004556
41,1078.95,0.26714,0.24558,0.7904,0.99933,1,0.995,0.98034,0.23396,0.21602,0.75797,0.000416,0.000416,0.000416
42,1101.04,0.26199,0.23667,0.78876,0.99937,1,0.995,0.98254,0.24322,0.20408,0.75806,0.0003764,0.0003764,0.0003764
43,1122.86,0.26555,0.22831,0.7835,0.99937,1,0.995,0.98101,0.23332,0.20321,0.75746,0.0003368,0.0003368,0.0003368
44,1144.87,0.27058,0.2304,0.79118,0.99938,1,0.995,0.98365,0.23693,0.19797,0.75838,0.0002972,0.0002972,0.0002972
45,1166.32,0.25908,0.21841,0.79103,0.99937,1,0.995,0.97738,0.24317,0.2026,0.75986,0.0002576,0.0002576,0.0002576
46,1191.09,0.26177,0.21915,0.80343,0.99936,1,0.995,0.97815,0.234,0.19758,0.75738,0.000218,0.000218,0.000218
47,1214.3,0.26049,0.21485,0.78267,0.99936,1,0.995,0.97757,0.24271,0.19656,0.75751,0.0001784,0.0001784,0.0001784
48,1239.98,0.25336,0.20917,0.77987,0.99936,1,0.995,0.98311,0.22043,0.18421,0.75721,0.0001388,0.0001388,0.0001388
49,1264.67,0.24356,0.20106,0.78437,0.99937,1,0.995,0.98297,0.21787,0.17539,0.75717,9.92e-05,9.92e-05,9.92e-05
50,1290.92,0.24204,0.2005,0.7817,0.99938,1,0.995,0.98455,0.21883,0.17481,0.7566,5.96e-05,5.96e-05,5.96e-05
